item_id,name,description_de,price,category,meal_type,is_lunch_menu,is_vegetarian,is_vegan_possible,contains_chicken,contains_lamb,contains_fish,contains_shrimp,contains_duck,contains_paneer,allergen_codes,source_page,search_text,allergen_names
500,Aloo Gobi Masala,"Kartoffeln mit Blumenkohl; zubereitet mit Ingwer, Knoblauch, Zwiebeln, Tomaten, frischem Koriander und Gewürzen",9.9,Mittagsmenü / lunch menu,main,true,true,true,false,false,false,false,false,false,f,1,"Name: Aloo Gobi Masala | Category: Mittagsmenü / lunch menu | Description: Kartoffeln mit Blumenkohl; zubereitet mit Ingwer, Knoblauch, Zwiebeln, Tomaten, frischem Koriander und Gewürzen | Price: 9.9 euros | Meal type: main | Lunch menu: true | Vegetarian: true | Vegan possible: true | Allergen codes: f | Allergen names: milk_lactose",milk_lactose
501,Channa Masala,Kichererbsen in indischer Currysoße,9.9,Mittagsmenü / lunch menu,main,true,true,true,false,false,false,false,false,false,f,1,Name: Channa Masala | Category: Mittagsmenü / lunch menu | Description: Kichererbsen in indischer Currysoße | Price: 9.9 euros | Meal type: main | Lunch menu: true | Vegetarian: true | Vegan possible: true | Allergen codes: f | Allergen names: milk_lactose,milk_lactose
502,Veg. Fried Rice,"gebratener Reis mit frischem Gemüse, Frühlingszwiebeln, Ei und Sojasoße",9.9,Mittagsmenü / lunch menu,main,true,true,true,false,false,false,false,false,false,not_listed,1,"Name: Veg. Fried Rice | Category: Mittagsmenü / lunch menu | Description: gebratener Reis mit frischem Gemüse, Frühlingszwiebeln, Ei und Sojasoße | Price: 9.9 euros | Meal type: main | Lunch menu: true | Vegetarian: true | Vegan possible: true | Allergen codes: not_listed | Allergen names: not_listed",not_listed
503,Gebratene Veg.-Nudeln,"gebratene Nudeln mit frischem Gemüse, Frühlingszwiebeln, Ei und Sojasoße",9.9,Mittagsmenü / lunch menu,main,true,true,true,false,false,false,false,false,false,not_listed,1,"Name: Gebratene Veg.-Nudeln | Category: Mittagsmenü / lunch menu | Description: gebratene Nudeln mit frischem Gemüse, Frühlingszwiebeln, Ei und Sojasoße | Price: 9.9 euros | Meal type: main | Lunch menu: true | Vegetarian: true | Vegan possible: true | Allergen codes: not_listed | Allergen names: not_listed",not_listed
504,Samosa-Teller,"Zwei Samosa mit Currykichererbsen, Tomaten, Gurken, Zwiebeln und mit zweierlei Soßen garniert",10.9,Mittagsmenü / lunch menu,main,true,true,true,false,false,false,false,false,false,not_listed,1,"Name: Samosa-Teller | Category: Mittagsmenü / lunch menu | Description: Zwei Samosa mit Currykichererbsen, Tomaten, Gurken, Zwiebeln und mit zweierlei Soßen garniert | Price: 10.9 euros | Meal type: main | Lunch menu: true | Vegetarian: true | Vegan possible: true | Allergen codes: not_listed | Allergen names: not_listed",not_listed
505,Paneer Tikka Biryani,"gebratener Basmatireis mit frischem Paneer, Cashewnüssen, Mandeln und Rosinen",10.9,Mittagsmenü / lunch menu,main,true,true,false,false,false,false,false,false,true,"f,g",1,"Name: Paneer Tikka Biryani | Category: Mittagsmenü / lunch menu | Description: gebratener Basmatireis mit frischem Paneer, Cashewnüssen, Mandeln und Rosinen | Price: 10.9 euros | Meal type: main | Lunch menu: true | Vegetarian: true | Vegan possible: false | Allergen codes: f,g | Allergen names: milk_lactose, nuts","milk_lactose, nuts"
506,Chili Paneer,"zarter indischer Käse in einer Paprika -Zwiebel-Soße und Chili, mit exotischen Gewürzen verfeinert",10.9,Mittagsmenü / lunch menu,main,true,true,false,false,false,false,false,false,true,not_listed,1,"Name: Chili Paneer | Category: Mittagsmenü / lunch menu | Description: zarter indischer Käse in einer Paprika -Zwiebel-Soße und Chili, mit exotischen Gewürzen verfeinert | Price: 10.9 euros | Meal type: main | Lunch menu: true | Vegetarian: true | Vegan possible: false | Allergen codes: not_listed | Allergen names: not_listed",not_listed
507,Palak Paneer,"frischer hausgemachter indischer Käse mit Spinat; zubereitet mit frischem Ingwer, Knoblauch und Tomaten",10.9,Mittagsmenü / lunch menu,main,true,true,false,false,false,false,false,false,true,f,2,"Name: Palak Paneer | Category: Mittagsmenü / lunch menu | Description: frischer hausgemachter indischer Käse mit Spinat; zubereitet mit frischem Ingwer, Knoblauch und Tomaten | Price: 10.9 euros | Meal type: main | Lunch menu: true | Vegetarian: true | Vegan possible: false | Allergen codes: f | Allergen names: milk_lactose",milk_lactose
508,Mango Paneer,hausgemachter indischer Käse mit Mango in einer exotischen Früchtesoße zubereitet,10.9,Mittagsmenü / lunch menu,main,true,true,false,false,false,false,false,false,true,not_listed,2,Name: Mango Paneer | Category: Mittagsmenü / lunch menu | Description: hausgemachter indischer Käse mit Mango in einer exotischen Früchtesoße zubereitet | Price: 10.9 euros | Meal type: main | Lunch menu: true | Vegetarian: true | Vegan possible: false | Allergen codes: not_listed | Allergen names: not_listed,not_listed
509,Paneer Jalfrezi,"hausgemachter indischer Käse mit Paprika, Zwiebeln und Tomaten in Curry-Gewürz-Soße zubereitet",10.9,Mittagsmenü / lunch menu,main,true,true,false,false,false,false,false,false,true,not_listed,2,"Name: Paneer Jalfrezi | Category: Mittagsmenü / lunch menu | Description: hausgemachter indischer Käse mit Paprika, Zwiebeln und Tomaten in Curry-Gewürz-Soße zubereitet | Price: 10.9 euros | Meal type: main | Lunch menu: true | Vegetarian: true | Vegan possible: false | Allergen codes: not_listed | Allergen names: not_listed",not_listed
520,Chicken Fried Rice,"gebratener Reis mit Hähnchenfleisch, frischem Gemüse, Frühlings-Zwiebeln, Ei und Sojasoße",10.9,Mittagsmenü / lunch menu,main,true,false,false,true,false,false,false,false,false,not_listed,2,"Name: Chicken Fried Rice | Category: Mittagsmenü / lunch menu | Description: gebratener Reis mit Hähnchenfleisch, frischem Gemüse, Frühlings-Zwiebeln, Ei und Sojasoße | Price: 10.9 euros | Meal type: main | Lunch menu: true | Vegetarian: false | Vegan possible: false | Allergen codes: not_listed | Allergen names: not_listed",not_listed
